id;class_name;name;params;crawler_id
15;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";3
16;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";3
17;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";3
18;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";3
19;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";3
20;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";3
21;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";3
22;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";4
23;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";4
24;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";4
25;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";4
26;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";4
27;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";4
28;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";4
29;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";5
30;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";5
31;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";5
32;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";5
33;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";5
34;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";5
35;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";5
36;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";6
37;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";6
38;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";6
39;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";6
40;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";6
41;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";6
42;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";6
43;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";7
44;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";7
45;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";7
46;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";7
47;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";7
48;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";7
49;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";7
50;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";8
51;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";8
52;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";8
53;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";8
54;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";8
55;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";8
56;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";8
57;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";9
58;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";9
59;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";9
60;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";9
61;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";9
62;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";9
63;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";9
64;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";10
65;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";10
66;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";10
67;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";10
68;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";10
69;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";10
70;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";10
71;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";11
72;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";11
73;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";11
74;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";11
75;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";11
76;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";11
77;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";11
78;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";12
79;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";12
80;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";12
81;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";12
82;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";12
83;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";12
84;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";12
85;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";13
86;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";13
87;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";13
88;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";13
89;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";13
90;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";13
91;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";13
92;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";14
93;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";14
94;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";14
95;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";14
96;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";14
97;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";14
98;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";14
99;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";15
100;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";15
101;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";15
102;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";15
103;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";15
104;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";15
105;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";15
106;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";16
107;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";16
108;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";16
109;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";16
110;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";16
111;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";16
112;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";16
113;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";17
114;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";17
115;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";17
116;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";17
117;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";17
118;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";17
119;com.digitalpebble.stormcrawler.filtering.regex.FastURLFilter;FastURLFilter;"[{""scope"": ""GLOBAL"",""patterns"": [""DenyPathQuery \\.jpg""]},{""scope"": ""domain:stormcrawler.net"",""patterns"": [""AllowPath /digitalpebble/"",""DenyPath .+""]},{""scope"": ""metadata:key=value"",""patterns"": [""DenyPath .+""]}]";17
120;com.digitalpebble.stormcrawler.parse.filter.XPathFilter;XPathFilter;"{""canonical"":""//*[@rel=\""canonical\""]/@href"",""parse.description"":[""//*[@name=\""description\""]/@content"",""//*[@name=\""Description\""]/@content""],""parse.title"":[""//TITLE"",""//META[@name=\""title\""]/@content""],""parse.keywords"":""//META[@name=\""keywords\""]/@content""}";18
121;com.digitalpebble.stormcrawler.filtering.basic.BasicURLFilter;BasicURLFilter;"{""maxPathRepetition"": 3,""maxLength"": 1024}";18
122;com.digitalpebble.stormcrawler.filtering.depth.MaxDepthFilter;MaxDepthFilter;"{""maxDepth"": -1}";18
123;com.digitalpebble.stormcrawler.filtering.basic.BasicURLNormalizer;BasicURLNormalizer;"{""removeAnchorPart"": true,""unmangleQueryString"": false,""checkValidURI"": true}";18
124;com.digitalpebble.stormcrawler.filtering.host.HostURLFilter;HostURLFilter;"{""ignoreOutsideHost"": true,""ignoreOutsideDomain"": false}";18
125;com.digitalpebble.stormcrawler.filtering.regex.RegexURLFilter;RegexURLFilter;"{""urlFilters"": [""# very time-consuming : use BasicURLFilter instead"",""# -.*(/[^/]+)/[^/]+\\1/[^/]+\\1/"",""# accept anything else# +.""]}";18
